id,color_name,name_fr,name_de,name_it,name_es,name_nl,name_pl,parent_color,hex_code,status,priority,trend_level
21,Cinnamon,Cannelle,Zimt,Cannella,Canela,Kaneel,Cynamonowy,Brown,#D2691E,to_add,tier_3,medium
22,Red,Rouge,Rot,Rosso,Rojo,Rood,Czerwony,,#FF0000,existing,keep,stable
23,Burgundy,Bordeaux,Burgund,Borgogna,Burdeos,Bordeaux,Bordowy,Red,#800020,existing,keep,very_high
24,Wine,Vin,Weinrot,Vinaccia,Vino,Wijnrood,Winny,Red,#722F37,to_add,tier_1,very_high
25,Cherry red,Rouge cerise,Kirschrot,Rosso ciliegia,Rojo cereza,Kersenrood,Wiśniowy,Red,#DE3163,to_add,tier_3,medium
26,Rust,Rouille,Rostrot,Ruggine,Óxido,Roest,Rdzawy,Red,#B7410E,to_add,tier_1,very_high
27,Orange,Orange,Orange,Arancione,Naranja,Oranje,Pomarańczowy,,#FFA500,existing,keep,stable
28,Coral,Corail,Koralle,Corallo,Coral,Koraal,Koralowy,Orange,#FF7F50,existing,keep,stable
29,Terracotta,Terracotta,Terrakotta,Terracotta,Terracota,Terracotta,Terakota,Orange,#E2725B,to_add,tier_1,very_high
30,Burnt orange,Orange brûlé,Gebranntes Orange,Arancione bruciato,Naranja quemado,Verbrand oranje,Spalony pomarańcz,Orange,#CC5500,to_add,tier_3,high
31,Peach,Pêche,Pfirsich,Pesca,Melocotón,Perzik,Brzoskwiniowy,Orange,#FFCBA4,to_add,tier_2,high
32,Yellow,Jaune,Gelb,Giallo,Amarillo,Geel,Żółty,,#FFFF00,existing,keep,stable
33,Mustard,Moutarde,Senfgelb,Senape,Mostaza,Mosterd,Musztardowy,Yellow,#FFDB58,existing,keep,stable
34,Gold,Or,Gold,Oro,Dorado,Goud,Złoty,Yellow,#FFD700,existing,keep,stable
35,Butter yellow,Jaune beurre,Buttergelb,Giallo burro,Amarillo mantequilla,Botergeel,Maślany,Yellow,#FFFAA0,to_add,tier_1,very_high
36,Green,Vert,Grün,Verde,Verde,Groen,Zielony,,#008000,existing,keep,stable
37,Olive,Olive,Oliv,Oliva,Oliva,Olijf,Oliwkowy,Green,#808000,existing,keep,stable
38,Khaki,Kaki,Khaki,Cachi,Caqui,Kaki,Khaki,Green,#C3B091,existing,keep,stable
39,Mint,Menthe,Mint,Menta,Menta,Mint,Miętowy,Green,#98FF98,existing,keep,stable
40,Sage,Sauge,Salbei,Salvia,Salvia,Salie,Szałwiowy,Green,#9DC183,to_add,tier_1,very_high
41,Emerald,Émeraude,Smaragd,Smeraldo,Esmeralda,Smaragd,Szmaragdowy,Green,#50C878,to_add,tier_2,high
42,Forest green,Vert forêt,Waldgrün,Verde foresta,Verde bosque,Bosgroen,Leśna zieleń,Green,#228B22,to_add,tier_2,high
43,Blue,Bleu,Blau,Blu,Azul,Blauw,Niebieski,,#0000FF,existing,keep,stable
44,Navy,Marine,Marineblau,Blu navy,Azul marino,Marineblauw,Granatowy,Blue,#000080,existing,keep,stable
45,Light-blue,Bleu ciel,Hellblau,Azzurro,Azul claro,Lichtblauw,Jasnoniebieski,Blue,#ADD8E6,existing,keep,stable
46,Teal,Bleu canard,Petrol,Blu petrolio,Verde azulado,Blauwgroen,Morski,Blue,#008080,existing,keep,high
47,Turquoise,Turquoise,Türkis,Turchese,Turquesa,Turkoois,Turkusowy,Blue,#40E0D0,existing,keep,stable
48,Cobalt,Cobalt,Kobalt,Cobalto,Cobalto,Kobalt,Kobaltowy,Blue,#0047AB,to_add,tier_2,high
49,Powder blue,Bleu poudré,Puderblau,Blu polvere,Azul empolvado,Poederblauw,Pudrowy niebieski,Blue,#B0E0E6,to_add,tier_3,high
50,Purple,Violet,Lila,Viola,Púrpura,Paars,Fioletowy,,#800080,existing,keep,stable
51,Lavender,Lavande,Lavendel,Lavanda,Lavanda,Lavendel,Lawendowy,Purple,#E6E6FA,existing,keep,stable
52,Lilac,Lilas,Flieder,Lilla,Lila,Lila,Liliowy,Purple,#C8A2C8,to_add,tier_2,high
53,Plum,Prune,Pflaume,Prugna,Ciruela,Pruim,Śliwkowy,Purple,#8E4585,to_add,tier_1,very_high
54,Eggplant,Aubergine,Aubergine,Melanzana,Berenjena,Aubergine,Bakłażanowy,Purple,#614051,to_add,tier_3,high
55,Mauve,Mauve,Malve,Malva,Malva,Mauve,Lila różowy,Purple,#E0B0FF,to_add,tier_2,high
56,Pink,Rose,Rosa,Rosa,Rosa,Roze,Różowy,,#FFC0CB,existing,keep,stable
57,Fuchsia,Fuchsia,Fuchsia,Fucsia,Fucsia,Fuchsia,Fuksjowy,Pink,#FF00FF,existing,keep,stable
58,Blush,Rose poudré,Altrosa,Rosa cipria,Rosa rubor,Blozend roze,Róż pudrowy,Pink,#DE5D83,to_add,tier_1,very_high
59,Dusty pink,Vieux rose,Altrosa,Rosa antico,Rosa viejo,Oud roze,Brudny róż,Pink,#D4A5A5,to_add,tier_1,very_high
60,Hot pink,Rose vif,Pink,Rosa shocking,Rosa intenso,Felroze,Jaskrawy róż,Pink,#FF69B4,to_add,tier_2,high
61,Rose gold,Or rose,Roségold,Oro rosa,Oro rosa,Roségoud,Różowe złoto,Metallic,#B76E79,to_add,tier_3,high
62,Bronze,Bronze,Bronze,Bronzo,Bronce,Brons,Brązowy metaliczny,Metallic,#CD7F32,to_add,tier_3,high
63,Multicolor,Multicolore,Mehrfarbig,Multicolore,Multicolor,Meerkleurig,Wielokolorowy,,#000000,existing,keep,stable
